number,title,user,created_at,closed_at,merged,merged_at
24702,Empty vectors before filling them in ChessBoardDetector::processQuads,vrabaud,2023-12-15 13:50:29+00:00,2023-12-18 13:18:43+00:00,True,2023-12-18 13:18:43+00:00
24701,Fix typo,dodo920306,2023-12-15 01:27:59+00:00,2023-12-15 11:48:52+00:00,True,2023-12-15 11:48:51+00:00
24700,Android Tutorial for Windows Updated,savuor,2023-12-15 00:54:49+00:00,2023-12-15 15:07:07+00:00,True,2023-12-15 15:07:07+00:00
24699,Enable Android AAR package build with SDK project itself without Python scripts,asmorkalov,2023-12-14 15:42:36+00:00,2023-12-21 13:58:44+00:00,False,
24698,build: prepare to build for ARM64 on Windows with Visual Studio,tomoaki0705,2023-12-14 14:03:38+00:00,2023-12-19 10:19:55+00:00,True,2023-12-19 10:19:55+00:00
24696,doc: use python3-minimal instead of python3-dev,Kumataro,2023-12-13 15:34:42+00:00,2023-12-13 20:56:07+00:00,True,2023-12-13 20:56:07+00:00
24694,dnn: refactor ONNX MatMul with fastGemm,fengyuentau,2023-12-13 06:00:05+00:00,2023-12-19 16:36:41+00:00,True,2023-12-19 16:36:41+00:00
24693,Fix homepage of libspng,FantasqueX,2023-12-13 03:54:12+00:00,2023-12-13 12:22:29+00:00,True,2023-12-13 12:22:29+00:00
24692,Android camera tutorial update,savuor,2023-12-13 00:46:13+00:00,2023-12-13 11:37:23+00:00,True,2023-12-13 11:37:23+00:00
24689,Update 3rdparty libspng to 0.7.4,FantasqueX,2023-12-12 15:15:35+00:00,2023-12-15 14:53:43+00:00,True,2023-12-15 14:53:43+00:00
24685,fix build.gradle,AleksandrPanov,2023-12-11 23:59:04+00:00,2023-12-12 06:11:22+00:00,True,2023-12-12 06:11:22+00:00
24681,Fixed armv8 compilation warnings,WanliZhong,2023-12-11 07:19:51+00:00,2023-12-12 12:38:08+00:00,True,2023-12-12 12:38:08+00:00
24680,Update Android mobilenet tutorial,AleksandrPanov,2023-12-10 23:48:18+00:00,2023-12-12 13:17:20+00:00,True,2023-12-12 13:17:20+00:00
24675,Fix for Floating point exception when qrcode.detect,sarthak-prasad,2023-12-09 15:03:53+00:00,2023-12-15 17:02:02+00:00,False,
24673,build: reenable fp16 compile in old compiler (armv7),tomoaki0705,2023-12-09 01:35:21+00:00,2023-12-09 12:57:42+00:00,True,2023-12-09 12:57:42+00:00
24672,Replace Slice optional inputs removal to adjustment,dkurt,2023-12-08 20:30:40+00:00,2023-12-10 16:37:55+00:00,True,2023-12-10 16:37:55+00:00
24668,Get code to compile without DNN,vrabaud,2023-12-08 09:55:40+00:00,2023-12-08 11:38:04+00:00,True,2023-12-08 11:38:04+00:00
24667,Fix mismatch and simplify code in ChessBoardDetector::findQuadNeighbors,MaximSmolskiy,2023-12-08 09:51:03+00:00,2023-12-24 08:45:20+00:00,True,2023-12-24 08:45:20+00:00
24666,add support Orbbec Gemini2 and Gemini2 XL camera,zzuliys,2023-12-08 06:30:36+00:00,2023-12-19 15:34:21+00:00,True,2023-12-19 15:34:21+00:00
24665,cmake: use /INCREMENTAL:NO with MSVS 2015,opencv-alalek,2023-12-08 06:15:08+00:00,2023-12-08 11:39:17+00:00,True,2023-12-08 11:39:17+00:00
24664,build: fix warning in Clang 10,tomoaki0705,2023-12-07 21:25:53+00:00,2023-12-08 11:39:07+00:00,True,2023-12-08 11:39:07+00:00
24662,Added experimental NativeCameraView class for Android 24+.,asmorkalov,2023-12-07 09:59:27+00:00,2023-12-11 13:40:58+00:00,True,2023-12-11 13:40:58+00:00
24659,Fix bug in ChessBoardDetector::cleanFoundConnectedQuads,MaximSmolskiy,2023-12-06 19:49:55+00:00,2023-12-19 13:05:30+00:00,True,2023-12-19 13:05:29+00:00
24658,G-API: Get input model layout from the IR if possible in OV 2.0 backend,smirnov-alexey,2023-12-06 14:53:10+00:00,2023-12-13 15:40:08+00:00,True,2023-12-13 15:40:08+00:00
24657,"Added warning, if FFmpeg pipeline was interrupted by timeout",asmorkalov,2023-12-06 10:30:37+00:00,2023-12-08 07:30:42+00:00,True,2023-12-08 07:30:42+00:00
24655,dnn onnx graph simplifier: handle optional inputs of Slice,fengyuentau,2023-12-06 03:12:19+00:00,2023-12-06 10:43:55+00:00,True,2023-12-06 10:43:55+00:00
24653,Android Studio tutorials rewritten,savuor,2023-12-06 01:45:59+00:00,2023-12-12 14:10:12+00:00,True,2023-12-12 14:10:12+00:00
24652,OpenCV.AI notification.,asmorkalov,2023-12-05 17:24:03+00:00,2023-12-05 19:25:49+00:00,True,2023-12-05 19:25:49+00:00
24651,Report resolution together with FPS in JavaCamera2View,asmorkalov,2023-12-05 15:47:13+00:00,2023-12-05 18:45:26+00:00,True,2023-12-05 18:45:26+00:00
24649,Refactor JavaCamera2View to add option to override Camera2 session request options,asmorkalov,2023-12-05 13:14:13+00:00,2023-12-06 14:33:32+00:00,True,2023-12-06 14:33:32+00:00
24648,Fix stereoRectify image boundaries again.,vrabaud,2023-12-05 12:37:11+00:00,2023-12-06 08:52:07+00:00,True,2023-12-06 08:52:07+00:00
24647,dnn cuda: support Sub,fengyuentau,2023-12-05 03:13:42+00:00,2023-12-06 10:46:25+00:00,True,2023-12-06 10:46:25+00:00
24642,build: merge multiple features specified at once,tomoaki0705,2023-12-04 13:37:37+00:00,2023-12-18 16:57:19+00:00,True,2023-12-18 16:57:19+00:00
24641,Drop Adnroid.mk and Application.mk in samples as they are not used with Gradle,asmorkalov,2023-12-04 13:07:57+00:00,2023-12-05 11:13:29+00:00,True,2023-12-05 11:13:29+00:00
